Gam2And, radec, 2:03:54.70, 42:19:50.9
NuFor, radec, 2:04:29.40, -29:17:48.8
AlpAri, radec, 2:07:10.39, 23:27:45.0
58And, radec, 2:08:29.30, 37:51:33.1
14Ari, radec, 2:09:25.30, 25:56:22.9
BetTri, radec, 2:09:32.59, 34:59:13.9
6Tri, radec, 2:12:22.30, 30:18:11.2
Xi1Cet, radec, 2:13:00.00, 8:50:48.1
60And, radec, 2:13:13.30, 44:13:54.1
PhiEri, radec, 2:16:30.60, -51:30:43.9
DelTri, radec, 2:17:03.19, 34:13:27.1
GamTri, radec, 2:17:18.91, 33:50:49.9
OmiCet, radec, 2:19:20.71, -2:58:39.0
DelHyi, radec, 2:21:44.90, -68:39:33.8
65And, radec, 2:25:37.39, 50:16:43.0
RhoCet, radec, 2:25:57.00, -12:17:26.2
KapEri, radec, 2:26:59.11, -47:42:14.0
Xi2Cet, radec, 2:28:09.50, 8:27:36.0
IotCas, radec, 2:29:04.01, 67:24:09.0
AlpUMi, radec, 2:31:48.70, 89:15:51.1
SigCet, radec, 2:32:05.21, -15:14:40.9
OmeFor, radec, 2:33:50.71, -28:13:57.0
NuCet, radec, 2:35:52.51, 5:35:35.9
DelCet, radec, 2:39:28.99, 0:19:43.0
EpsCet, radec, 2:39:33.79, -11:52:19.9
EpsHyi, radec, 2:39:35.40, -68:16:00.8
IotEri, radec, 2:40:40.01, -39:51:20.2
12Per, radec, 2:42:14.90, 40:11:38.0
GamCet, radec, 2:43:18.00, 3:14:08.9
35Ari, radec, 2:43:27.10, 27:42:25.9
PiCet, radec, 2:44:07.39, -13:51:31.0
ThePer, radec, 2:44:12.00, 49:13:41.9
MuCet, radec, 2:44:56.50, 10:06:51.1
Tau1Eri, radec, 2:45:06.19, -18:34:21.0
ZetHyi, radec, 2:45:32.59, -67:37:00.1
39Ari, radec, 2:47:54.50, 29:14:49.9
BetFor, radec, 2:49:05.40, -32:24:20.9
41Ari, radec, 2:49:58.99, 27:15:38.2
NuHyi, radec, 2:50:28.51, -75:04:00.8
16Per, radec, 2:50:35.11, 38:19:07.0
EtaPer, radec, 2:50:41.81, 55:53:44.2
Tau2Eri, radec, 2:51:02.30, -21:00:15.1
17Per, radec, 2:51:30.79, 35:03:34.9
TauPer, radec, 2:54:15.50, 52:45:45.0
EtaEri, radec, 2:56:25.70, -8:53:53.2
The1Eri, radec, 2:58:15.70, -40:18:16.9
The2Eri, radec, 2:58:16.30, -40:18:15.8
PiPer, radec, 2:58:45.70, 39:39:46.1
BetHor, radec, 2:58:47.81, -64:04:17.0
24Per, radec, 2:59:03.70, 35:10:59.2
EpsAri, radec, 2:59:12.70, 21:20:25.1
LamCet, radec, 2:59:42.89, 8:54:27.0
AlpCet, radec, 3:02:16.80, 4:05:22.9
Tau3Eri, radec, 3:02:23.50, -23:37:27.8
GamPer, radec, 3:04:47.81, 53:30:23.0
RhoPer, radec, 3:05:10.61, 38:50:25.1
BetPer, radec, 3:08:10.10, 40:57:20.2
IotPer, radec, 3:09:04.01, 49:36:47.9
KapPer, radec, 3:09:29.81, 44:51:25.9
OmePer, radec, 3:11:17.40, 39:36:42.1
DelAri, radec, 3:11:37.80, 19:43:36.1
AlpFor, radec, 3:12:04.30, -28:59:12.8
ZetAri, radec, 3:14:54.10, 21:02:39.8
ZetEri, radec, 3:15:49.99, -8:49:10.9
15Eri, radec, 3:18:22.10, -22:30:41.0
Kap1Cet, radec, 3:19:21.70, 3:22:13.1
Tau4Eri, radec, 3:19:31.01, -21:45:28.1
32Per, radec, 3:21:26.50, 43:19:45.8
AlpPer, radec, 3:24:19.39, 49:51:40.0
OmiTau, radec, 3:24:48.79, 9:01:44.0
XiTau, radec, 3:27:10.20, 9:43:58.1
34Per, radec, 3:29:22.10, 49:30:32.0
KapRet, radec, 3:29:22.70, -62:56:15.0
SigPer, radec, 3:30:34.49, 47:59:43.1
17Eri, radec, 3:30:37.10, -5:04:31.1
5Tau, radec, 3:30:52.39, 12:56:12.1
EpsEri, radec, 3:32:55.80, -9:27:29.9
Tau5Eri, radec, 3:33:47.30, -21:37:58.1
PsiPer, radec, 3:36:29.40, 48:11:34.1
10Tau, radec, 3:36:52.39, 0:24:06.1
DelFor, radec, 3:42:14.90, -31:56:17.9
40Per, radec, 3:42:22.51, 33:57:54.0
